id,sex,group,exp,exp_date,latency,1st_prey,unpalatable_50,total_50,palatable_50,unpalatable_consumed,total_consumed,palatable_consumed,population,pc1,1st_prey2,percent_unpalatable_50,percent_unpalatable_consumed
126,m,Y,4,09-01-2022,9,U,4,4,0,4,8,4,PT,-1.10215110214774,0,1,0.5
126,m,Y,5,09-02-2022,15,P,2,4,2,4,8,4,PT,-1.10215110214774,1,0.5,0.5
127,m,Y,1,09-05-2022,0,P,0,4,4,0,4,4,PT,-0.6936114717619359,1,0,0
127,m,Y,2,09-06-2022,0,U,2,4,2,2,6,4,PT,-0.6936114717619359,0,0.5,0.3333333333333333
127,m,Y,3,09-07-2022,0,P,2,4,2,2,6,4,PT,-0.6936114717619359,1,0.5,0.3333333333333333
127,m,Y,4,09-08-2022,0,U,2,4,2,3,7,4,PT,-0.6936114717619359,0,0.5,0.42857142857142855
127,m,Y,5,09-09-2022,0,P,2,4,2,2,6,4,PT,-0.6936114717619359,1,0.5,0.3333333333333333
128,f,R,3,09-07-2022,23,P,0,3,3,1,5,4,PT,0.1683939392548763,1,0,0.2
128,f,R,4,09-08-2022,27,P,2,4,2,3,7,4,PT,0.1683939392548763,1,0.5,0.42857142857142855
128,f,R,1,09-05-2022,20,P,2,4,2,3,5,2,PT,0.1683939392548763,1,0.5,0.6
128,f,R,2,09-06-2022,12,P,1,3,2,3,6,3,PT,0.1683939392548763,1,0.3333333333333333,0.5
128,f,R,5,09-09-2022,16,P,1,4,3,3,7,4,PT,0.1683939392548763,1,0.25,0.42857142857142855
129,m,Y,1,09-05-2022,4,U,3,4,1,0,4,4,PT,4.8303513901833615,0,0.75,0
129,m,Y,2,09-06-2022,0,P,2,4,2,0,3,3,PT,4.8303513901833615,1,0.5,0
129,m,Y,3,09-07-2022,22,U,2,4,2,3,7,4,PT,4.8303513901833615,0,0.5,0.42857142857142855
129,m,Y,4,09-08-2022,10,P,0,4,4,1,5,4,PT,4.8303513901833615,1,0,0.2
129,m,Y,5,09-09-2022,20,P,1,4,3,3,7,4,PT,4.8303513901833615,1,0.25,0.42857142857142855
130,f,Y,1,09-05-2022,11,U,3,3,0,2,2,0,PT,4.077428249342058,0,1,1
130,f,Y,3,09-07-2022,0,P,1,3,2,2,5,3,PT,4.077428249342058,1,0.3333333333333333,0.4
130,f,Y,4,09-08-2022,8,U,2,3,1,2,5,3,PT,4.077428249342058,0,0.6666666666666666,0.4
130,f,Y,5,09-09-2022,46,U,2,3,1,1,4,3,PT,4.077428249342058,0,0.6666666666666666,0.25
59,m,Y,5,04-03-2022,0,P,1,4,3,1,5,4,Chai,-1.122328536768154,1,0.25,0.2
59,m,Y,1,03-30-2022,0,P,1,4,3,3,7,4,Chai,-1.122328536768154,1,0.25,0.42857142857142855
59,m,Y,4,04-02-2022,0,U,2,4,2,3,7,4,Chai,-1.122328536768154,0,0.5,0.42857142857142855
59,m,Y,2,03-31-2022,0,P,2,4,2,3,7,4,Chai,-1.122328536768154,1,0.5,0.42857142857142855
59,m,Y,3,04-01-2022,0,P,2,4,2,2,6,4,Chai,-1.122328536768154,1,0.5,0.3333333333333333
60,m,R,3,04-01-2022,0,P,0,4,4,3,7,4,Chai,-1.44801327183804,1,0,0.42857142857142855
60,m,R,1,03-30-2022,0,P,1,4,3,2,6,4,Chai,-1.44801327183804,1,0.25,0.3333333333333333
60,m,R,5,04-03-2022,0,P,1,4,3,2,6,4,Chai,-1.44801327183804,1,0.25,0.3333333333333333
60,m,R,2,03-31-2022,0,U,1,4,3,2,6,4,Chai,-1.44801327183804,0,0.25,0.3333333333333333
60,m,R,4,04-02-2022,0,P,3,4,1,4,8,4,Chai,-1.44801327183804,1,0.75,0.5
61,f,R,5,04-03-2022,23,P,1,4,3,1,5,4,Chai,-1.5254234783935685,1,0.25,0.2
61,f,R,1,03-30-2022,33,P,1,4,3,1,5,4,Chai,-1.5254234783935685,1,0.25,0.2
61,f,R,2,03-31-2022,12,P,1,4,3,1,4,3,Chai,-1.5254234783935685,1,0.25,0.25
62,m,Y,2,03-31-2022,0,U,2,4,2,4,8,4,Chai,-2.04867114058332,0,0.5,0.5
62,m,Y,1,03-30-2022,0,U,3,4,1,4,8,4,Chai,-2.04867114058332,0,0.75,0.5
62,m,Y,5,04-03-2022,2,U,2,4,2,0,4,4,Chai,-2.04867114058332,0,0.5,0
62,m,Y,3,04-01-2022,0,P,2,4,2,4,8,4,Chai,-2.04867114058332,1,0.5,0.5
62,m,Y,4,04-02-2022,0,P,3,4,1,4,8,4,Chai,-2.04867114058332,1,0.75,0.5
63,f,R,4,04-02-2022,0,P,1,4,3,4,8,4,Chai,-2.5183769178644164,1,0.25,0.5
63,f,R,5,04-03-2022,0,P,0,4,4,4,8,4,Chai,-2.5183769178644164,1,0,0.5
63,f,R,1,03-30-2022,0,U,1,4,3,1,5,4,Chai,-2.5183769178644164,0,0.25,0.2
63,f,R,2,03-31-2022,0,P,1,4,3,0,4,4,Chai,-2.5183769178644164,1,0.25,0
63,f,R,3,04-01-2022,0,U,1,4,3,0,4,4,Chai,-2.5183769178644164,0,0.25,0
64,f,Y,1,03-30-2022,7,P,0,4,4,4,8,4,Chai,-1.2160215417260456,1,0,0.5
64,f,Y,2,03-31-2022,0,U,3,4,1,4,8,4,Chai,-1.2160215417260456,0,0.75,0.5
64,f,Y,3,04-01-2022,4,P,1,4,3,2,5,3,Chai,-1.2160215417260456,1,0.25,0.4
64,f,Y,4,04-02-2022,6,U,1,3,2,3,5,2,Chai,-1.2160215417260456,0,0.3333333333333333,0.6
64,f,Y,5,04-03-2022,14,U,2,3,1,3,5,2,Chai,-1.2160215417260456,0,0.6666666666666666,0.6
65,f,R,2,03-31-2022,0,U,1,4,3,3,7,4,Chai,-1.7666648646736622,0,0.25,0.42857142857142855
65,f,R,1,03-30-2022,0,P,1,4,3,2,6,4,Chai,-1.7666648646736622,1,0.25,0.3333333333333333
65,f,R,5,04-03-2022,0,P,1,4,3,0,4,4,Chai,-1.7666648646736622,1,0.25,0
65,f,R,3,04-01-2022,3,P,0,2,2,0,4,4,Chai,-1.7666648646736622,1,0,0
65,f,R,4,04-02-2022,0,U,1,4,3,1,5,4,Chai,-1.7666648646736622,0,0.25,0.2
66,m,R,2,03-31-2022,0,U,1,4,3,4,8,4,Chai,-1.2126617400469848,0,0.25,0.5
66,m,R,3,04-01-2022,0,P,0,3,3,1,5,4,Chai,-1.2126617400469848,1,0,0.2
66,m,R,4,04-02-2022,0,U,1,4,3,2,6,4,Chai,-1.2126617400469848,0,0.25,0.3333333333333333
66,m,R,1,03-30-2022,0,U,2,4,2,4,8,4,Chai,-1.2126617400469848,0,0.5,0.5
66,m,R,5,04-03-2022,28,P,0,2,2,0,4,4,Chai,-1.2126617400469848,1,0,0
67,m,R,2,04-09-2022,0,U,1,4,3,0,4,4,Chai,-1.927514054339715,0,0.25,0
67,m,R,3,04-10-2022,12,P,0,3,3,0,4,4,Chai,-1.927514054339715,1,0,0
67,m,R,4,04-11-2022,13,P,0,2,2,0,4,4,Chai,-1.927514054339715,1,0,0
67,m,R,5,04-12-2022,0,P,0,3,3,1,5,4,Chai,-1.927514054339715,1,0,0.2
67,m,R,1,04-08-2022,4,U,2,4,2,2,6,4,Chai,-1.927514054339715,0,0.5,0.3333333333333333
69,f,Y,4,04-11-2022,0,P,1,4,3,4,8,4,Chai,-2.4945053461963744,1,0.25,0.5
69,f,Y,5,04-12-2022,0,P,0,4,4,3,7,4,Chai,-2.4945053461963744,1,0,0.42857142857142855
69,f,Y,2,04-09-2022,0,U,2,4,2,3,7,4,Chai,-2.4945053461963744,0,0.5,0.42857142857142855
